ONTOLOGY,ID,Description,NES,setSize,pvalue,p.adjust,core_enrichment
BP,GO:0032147,activation of protein kinase activity,-1.5349919204222382,18,0.057494866529774126,0.9641025641025642,MAP4K5/ADCY9/ADCY7/MAP4K2/PRKAR2A/TGFBR1/ACVR2B/TAB1
MF,GO:0004674,protein serine/threonine kinase activity,-1.546484607534315,29,0.057801080144152195,0.9641025641025642,MAP4K5/CDKL1/CDK6/MAP4K2/CAMKK1/TGFBR1/MKNK2/HTATIP2/ACVR2B/RPS6KA1/PRKAA2
BP,GO:0032501,multicellular organismal process,-1.3154225013399563,203,0.05868544600938967,0.9641025641025642,IL1RAP/ADCY9/KDM7A/TOB2/ADCY7/NEDD4/CDKL1/SNX4/SS18L2/CDK6/STARD13/WWC2/PRKAR2A/NHS/TGFBR1/USP46/RBSN/MAPKBP1/CLASP2/MICAL2/ASXL2/GCLM/MKNK2/CNNM4/HTATIP2/PHLPP2/PTPRB/RAP2A/MICALCL/POMK/OSBP2/ANO1/ARNT2/LBR/OMA1/ACVR2B/RPS6KA1/P4HB/DDHD2/CDH20/SDC1/TPM4/PRKAA2/EIF5A2/ARG2/CYP26B1/TAB1/IL7R/PLA2G3
MF,GO:0000166,nucleotide binding,-1.397713380660415,82,0.05870020964360587,0.9641025641025642,IRGQ/PYGL/MAP4K5/ADCY9/ADCY7/CDKL1/CDK6/MAP4K2/CAMKK1/PRKAR2A/TGFBR1/TUBAL3/ACAD11/MICAL2/MKNK2/RAP2A/POMK/LBR/ACVR2B/CMPK1/RPS6KA1/PRKAA2/RAB15/RHEBL1
MF,GO:1901265,nucleoside phosphate binding,-1.397713380660415,82,0.05870020964360587,0.9641025641025642,IRGQ/PYGL/MAP4K5/ADCY9/ADCY7/CDKL1/CDK6/MAP4K2/CAMKK1/PRKAR2A/TGFBR1/TUBAL3/ACAD11/MICAL2/MKNK2/RAP2A/POMK/LBR/ACVR2B/CMPK1/RPS6KA1/PRKAA2/RAB15/RHEBL1
BP,GO:0009887,animal organ morphogenesis,-1.4986522950365677,27,0.058823529411764705,0.9641025641025642,ZHX2/PLEKHA1/NEDD4/TGFBR1/MICAL2/ASXL2/CNNM4/ACVR2B/RPS6KA1/SDC1/CYP26B1/TAB1
BP,GO:0045597,positive regulation of cell differentiation,-1.4943393056552812,30,0.058823529411764705,0.9641025641025642,SS18L2/TGFBR1/ASXL2/ACVR2B/RPS6KA1/P4HB/CYP26B1/IL7R/PLA2G3
BP,GO:0002694,regulation of leukocyte activation,-1.5269794351465442,18,0.059548254620123205,0.9641025641025642,ARG2/CYP26B1/IL7R/PLA2G3
MF,GO:0004672,protein kinase activity,-1.4744159029832626,33,0.060542797494780795,0.9641025641025642,MAP4K5/CDKL1/CDK6/MAP4K2/CAMKK1/TGFBR1/MKNK2/HTATIP2/POMK/ACVR2B/RPS6KA1/PRKAA2
CC,GO:0005815,microtubule organizing center,-1.463809454053642,28,0.06157112526539278,0.9641025641025642,CDK6/PRKAR2A/CLASP2/CEP128/MICALCL/DDHD2/PLA2G3/CCNB3
MF,GO:0043168,anion binding,-1.3806321061654043,102,0.06236559139784946,0.9641025641025642,MAST2/MYO18A/ANXA7/PLEKHA1/IRGQ/PYGL/LANCL1/MAP4K5/ADCY9/ADCY7/CDKL1/SNX4/CDK6/MAP4K2/CAMKK1/PRKAR2A/TGFBR1/TUBAL3/ACAD11/MICAL2/MKNK2/RAP2A/POMK/LBR/ACVR2B/CMPK1/EGLN3/RPS6KA1/PRKAA2/RAB15/CYP26B1/RHEBL1
MF,GO:0005085,guanyl-nucleotide exchange factor activity,-1.556074356325114,11,0.06300813008130081,0.9641025641025642,ALS2/DOCK7/ANKRD27/DOCK5/SBF2/RCC1/CYTH1/DENND6A/PLCD4/RASGRP2
BP,GO:0045595,regulation of cell differentiation,-1.3756162769826419,50,0.06382978723404255,0.9641025641025642,TOB2/NEDD4/SS18L2/CDK6/TGFBR1/CLASP2/ASXL2/RAP2A/ACVR2B/RPS6KA1/P4HB/CYP26B1/IL7R/PLA2G3
BP,GO:0080090,regulation of primary metabolic process,-1.3113913467008185,208,0.06407322654462243,0.9641025641025642,IL1RAP/MAP4K5/ADCY9/KDM7A/TOB2/ADCY7/GABPB2/NEDD4/FITM2/SS18L2/CDK6/KLF11/MAP4K2/CAMKK1/CRADD/WWC2/PRKAR2A/TGFBR1/NUDT15/MICAL2/ASXL2/SAMD4A/MKNK2/PPP1R14C/HTATIP2/PTPRB/RAP2A/ZMYND11/ARNT2/PCBD1/EDEM1/ACVR2B/HAS3/EGLN3/PM20D2/RPS6KA1/PRKAA2/SCML1/EIF5A2/CRLF3/TAB1/ZNF367/RHEBL1/IL7R/PLA2G3/CCNB3
CC,GO:0005737,cytoplasm,-1.2801291064671059,388,0.06601466992665037,0.9641025641025642,CDK6/STARD13/KLF11/MAP4K2/CAMKK1/CRADD/DDHD1/WWC2/PRKAR2A/NHS/DNAL4/FKBP9/TGFBR1/TUBAL3/ACAD11/USP46/ZDHHC18/NUDT15/RBSN/ARSK/MAPKBP1/CLASP2/SAMD4A/GCLM/MKNK2/PPP1R14C/UBIAD1/HTATIP2/LRRC8B/PHLPP2/PLCD4/PTPRB/CEP128/RAP2A/SUMF1/UAP1/MICALCL/OSBP2/RASGRP2/ANO1/ARNT2/LIX1L/SCARA3/PCBD1/EDEM1/DOHH/LBR/OMA1/ACVR2B/HAS3/CMPK1/EGLN3/RPS6KA1/P4HB/PADI3/DDHD2/SDC1/TPM4/PRKAA2/EIF5A2/RAB15/ARG2/CYP26B1/CRLF3/TAB1/ST6GALNAC6/RHEBL1/IL7R/PLA2G3/CAPN6/CCNB3
CC,GO:0098590,plasma membrane region,1.5028019465287288,31,0.0661625708884688,0.9641025641025642,PCDHB13/CLDN3/ADCY1/NDRG4/UPK2/MET/CLDN1
CC,GO:0045202,synapse,1.5174910308362901,30,0.06844106463878327,0.9641025641025642,PCDHB13/ADCY1/NPBWR1/PDE4B/RGS17/STX12/RIC3/VAMP7/VAMP7
BP,GO:0070887,cellular response to chemical stimulus,-1.3498145505873038,97,0.06941431670281996,0.9641025641025642,PLEKHA1/PPP1R14A/LANCL1/IL1RAP/ADCY9/ADCY7/NEDD4/KLF11/PRKAR2A/TGFBR1/GCLM/MKNK2/UBIAD1/RAP2A/RASGRP2/ANO1/ARNT2/EDEM1/ACVR2B/EGLN3/P4HB/SDC1/PRKAA2/RAB15/CYP26B1/TAB1/IL7R
BP,GO:0071704,organic substance metabolic process,-1.284812238812382,353,0.069970044132802,0.9641025641025642,IL1RAP/ERMP1/MAP4K5/ADCY9/KDM7A/TOB2/ADCY7/GABPB2/NEDD4/CDKL1/FITM2/SS18L2/CDK6/KLF11/MAP4K2/CAMKK1/CRADD/DDHD1/WWC2/PRKAR2A/FKBP9/TGFBR1/ACAD11/USP46/ZDHHC18/NUDT15/MAPKBP1/MICAL2/ASXL2/SAMD4A/GCLM/MKNK2/TRMT2B/PPP1R14C/UBIAD1/HTATIP2/PHLPP2/PLCD4/PTPRB/RAP2A/SUMF1/UAP1/ZMYND11/POMK/ARNT2/PCBD1/EDEM1/DOHH/LBR/OMA1/ACVR2B/HAS3/CMPK1/EGLN3/PM20D2/RPS6KA1/P4HB/FCF1/PADI3/DDHD2/SDC1/PRKAA2/SCML1/EIF5A2/ARG2/CYP26B1/CRLF3/TAB1/ZNF367/ST6GALNAC6/RHEBL1/IL7R/PLA2G3/CCNB3
BP,GO:0007276,gamete generation,-1.4945375718399065,25,0.07039337474120083,0.9641025641025642,CELF1/NUP62/BNC1/GOLGA3/CSNK2A2/AGFG1/AGO4/MAST2/PLEKHA1/TOB2/TGFBR1/MICALCL/OSBP2/EIF5A2/CYP26B1/PLA2G3
BP,GO:0030855,epithelial cell differentiation,1.4827585108067587,18,0.07184466019417475,0.9641025641025642,CLDN3/UPK2/MET/CLDN1/AKR1C3/CDKN1A/ACTA2/RBPJ
BP,GO:0019222,regulation of metabolic process,-1.2651234704722623,235,0.07294117647058823,0.9641025641025642,IL1RAP/MAP4K5/ADCY9/KDM7A/TOB2/ADCY7/GABPB2/NEDD4/FITM2/SS18L2/CDK6/KLF11/MAP4K2/CAMKK1/CRADD/WWC2/PRKAR2A/TGFBR1/USP46/NUDT15/MAPKBP1/MICAL2/ASXL2/SAMD4A/MKNK2/PPP1R14C/HTATIP2/PTPRB/RAP2A/ZMYND11/ARNT2/PCBD1/EDEM1/OMA1/ACVR2B/HAS3/EGLN3/PM20D2/RPS6KA1/PRKAA2/SCML1/EIF5A2/ARG2/CYP26B1/CRLF3/TAB1/ZNF367/RHEBL1/IL7R/PLA2G3/CCNB3
BP,GO:0061564,axon development,1.475083624194011,11,0.07450980392156863,0.9641025641025642,ADCY1/APOD/C12orf57
BP,GO:0034330,cell junction organization,1.4531661884162872,27,0.07604562737642585,0.9641025641025642,PCDHB13/CLDN3/CLDN9/APOD/CLDN1
